rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,Rank,CCA3,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
96,433,79,10.3,51.2,863.2,1.52%,774.2,8.9,Netherlands,71.0,NLD,Amsterdam,Europe,17564014.0,17434557.0,17041107.0,16617116.0,15899135.0,14944548.0,14130387.0,13037686.0,41850.0,419.6897,1.0036,0.22
97,hudabeauty,82,2.4,50.8,186.4,0.04%,16.8,453.6,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
98,adele,84,0.42,50.7,4.7,3.82%,1.9,2.0,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
100,kritisanon,76,2.7,50.2,897.2,1.21%,604.4,2.4,India,2.0,IND,New Delhi,Asia,1417173173.0,1396387127.0,1322866505.0,1240613620.0,1059633675.0,870452165.0,696828385.0,557501301.0,3287590.0,431.0675,1.0068,17.77
101,jamesrodriguez10,86,1.1,49.9,1.4,0.75%,363.9,1.5,Colombia,28.0,COL,Bogota,South America,51874024.0,50930662.0,47119728.0,44816108.0,39215135.0,32601393.0,26176195.0,20905254.0,1141748.0,45.4339,1.0069,0.65
102,krisjenner,80,6.4,49.7,356.8,0.91%,452.9,2.3,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
104,lelepons,81,2.5,49.2,2.4,3.55%,1.7,6.1,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
106,gucci,86,8.9,49.0,115.1,0.15%,72.4,1.0,Italy,25.0,ITA,Rome,Europe,59037474.0,59500579.0,60232906.0,59822450.0,56966397.0,56756561.0,56329482.0,53324036.0,301336.0,195.9191,0.9966,0.74
107,prillylatuconsina96,84,6.5,48.9,372.4,0.27%,131.8,2.4,Indonesia,4.0,IDN,Jakarta,Asia,275501339.0,271857970.0,259091970.0,244016173.0,214072421.0,182159874.0,148177096.0,115228394.0,1904569.0,144.6529,1.0064,3.45
108,louisvuitton,82,6.5,48.7,127.5,0.08%,40.5,824.0,France,23.0,FRA,Paris,Europe,64626628.0,64480053.0,63809769.0,62444567.0,58665453.0,56412897.0,53713830.0,50523586.0,551695.0,117.1419,1.0015,0.81
111,dovecameron,85,0.17,48.2,1.6,1.75%,841.4,283.0,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
114,nusr_et,81,2.3,47.3,728.2,0.29%,133.0,1.7,United Arab Emirates,97.0,ARE,Abu Dhabi,Asia,9441129.0,9287289.0,8916899.0,8481771.0,3275333.0,1900151.0,1014048.0,298084.0,83600.0,112.9322,1.0081,0.12
115,harrystyles,57,0.59,46.9,4.7,6.38%,2.9,2.8,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
117,vanessahudgens,84,4.2,46.8,633.9,0.63%,292.9,2.7,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
118,5-Minute Crafts GIRLY,85,10.0,46.5,157.0,0.03%,12.4,1.6,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
119,zayn,82,0.16,46.5,4.7,8.81%,4.0,773.5,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
120,larissamanoela,85,5.2,46.5,579.6,0.57%,259.4,3.0,Brazil,7.0,BRA,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0,25.2841,1.0046,2.7
121,travisscott,78,3.2,46.2,3.0,5.71%,2.6,9.6,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
122,thenotoriousmma,82,3.2,45.9,1.1,0.69%,311.5,3.5,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
123,daddyyankee,80,0.02,45.9,652.5,1.00%,455.3,18.3,Puerto Rico,136.0,PRI,San Juan,North America,3252407.0,3271564.0,3497335.0,3717922.0,3827108.0,3543776.0,3214568.0,2737619.0,8870.0,366.675,0.9989,0.04
124,natgeotravel,82,16.9,45.8,189.9,0.12%,52.8,3.2,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
125,nikefootball,85,1.8,45.4,431.2,0.44%,199.8,784.0,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
128,maisa,42,1.5,44.5,553.0,0.67%,294.1,820.1,Brazil,7.0,BRA,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0,25.2841,1.0046,2.7
130,gusttavolima,76,4.9,43.9,475.1,0.71%,303.9,2.3,Brazil,7.0,BRA,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0,25.2841,1.0046,2.7
132,varundvn,84,1.9,43.8,1.1,1.48%,640.5,2.0,India,2.0,IND,New Delhi,Asia,1417173173.0,1396387127.0,1322866505.0,1240613620.0,1059633675.0,870452165.0,696828385.0,557501301.0,3287590.0,431.0675,1.0068,17.77
134,nickyjampr,81,10.0,43.4,381.6,0.33%,139.3,3.8,Colombia,28.0,COL,Bogota,South America,51874024.0,50930662.0,47119728.0,44816108.0,39215135.0,32601393.0,26176195.0,20905254.0,1141748.0,45.4339,1.0069,0.65
135,buzzfeedtasty,85,8.9,43.2,65.1,0.02%,7.7,580.7,Spain,30.0,ESP,Madrid,Europe,47558630.0,47363807.0,46431342.0,46572772.0,40741651.0,38889889.0,37491666.0,33792617.0,505992.0,93.9909,1.0015,0.6
136,brunamarquezine,84,3.0,43.1,969.7,1.05%,444.2,2.9,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
137,caradelevingne,86,4.4,42.9,790.2,0.43%,181.0,3.5,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
140,britneyspears,80,3.0,42.1,513.1,0.55%,221.7,1.6,Turkey,18.0,TUR,Ankara,Asia,85341241.0,84135428.0,79646178.0,73195345.0,64113547.0,54324142.0,44089069.0,35540990.0,783562.0,108.9145,1.0067,1.07
